epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,10416.5,1.05836,0.77868,0.01287,0.67205,0.51863,0.52327,0.30188,1.62781,1.7375,0.02173,0.000181703,0.000181703,0.000181703
92,10514.2,1.02648,0.72241,0.01211,0.62992,0.5694,0.52684,0.30548,1.60756,1.73748,0.02145,0.0001652,0.0001652,0.0001652
93,10619.8,1.06264,0.68394,0.01353,0.61375,0.60637,0.53585,0.30787,1.6201,1.68793,0.02177,0.000148696,0.000148696,0.000148696
94,10710.5,1.00994,0.66142,0.01227,0.66974,0.6226,0.55072,0.31165,1.63087,1.66701,0.02168,0.000132193,0.000132193,0.000132193
95,10804.6,1.01558,0.70647,0.01212,0.64005,0.63354,0.57359,0.32851,1.61964,1.68049,0.02139,0.00011569,0.00011569,0.00011569
96,10891.9,0.99513,0.67549,0.01192,0.63892,0.65735,0.57495,0.32888,1.62806,1.67953,0.02183,9.91865e-05,9.91865e-05,9.91865e-05
97,10978.6,0.98047,0.67472,0.01089,0.66407,0.6403,0.57087,0.32321,1.6168,1.68372,0.02156,8.26832e-05,8.26832e-05,8.26832e-05
98,11067,1.00749,0.68336,0.01244,0.66555,0.65192,0.56338,0.31966,1.60983,1.68954,0.02125,6.61799e-05,6.61799e-05,6.61799e-05
99,11164.7,0.94466,0.70235,0.01129,0.68628,0.65172,0.58306,0.33337,1.6076,1.68435,0.02116,4.96766e-05,4.96766e-05,4.96766e-05
100,11261.3,1.01145,0.67313,0.01197,0.66797,0.65192,0.58142,0.33158,1.60976,1.68894,0.02119,3.31733e-05,3.31733e-05,3.31733e-05
