epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,26917.7,1.06038,1.23682,0.01186,0.82068,0.82281,0.85739,0.63984,1.00552,0.75851,0.02113,0.00101512,0.00101512,0.00101512
81,27251.7,1.04562,1.20442,0.01135,0.8553,0.7367,0.82502,0.60429,1.07012,0.84327,0.02414,0.00100687,0.00100687,0.00100687
82,27582.3,1.04091,1.206,0.01119,0.8505,0.74036,0.85102,0.64108,1.00186,0.7946,0.02084,0.000998616,0.000998616,0.000998616
83,27914.4,1.03501,1.17684,0.01106,0.79802,0.78851,0.84747,0.64116,0.98296,0.79153,0.02094,0.000990365,0.000990365,0.000990365
84,28246.4,1.06754,1.19255,0.01161,0.83828,0.78235,0.8392,0.62164,1.03434,0.80636,0.02241,0.000982113,0.000982113,0.000982113
85,28578.5,1.05042,1.1857,0.01128,0.8296,0.76906,0.85634,0.6497,1.00338,0.77555,0.02127,0.000973861,0.000973861,0.000973861
86,28907.5,1.03251,1.17827,0.01113,0.83031,0.76276,0.81992,0.61211,1.0292,0.80811,0.02216,0.00096561,0.00096561,0.00096561
87,29240.9,1.03954,1.17721,0.01129,0.80856,0.80964,0.85599,0.65053,0.98437,0.72109,0.02117,0.000957358,0.000957358,0.000957358
88,29574.4,1.03712,1.15438,0.01086,0.8341,0.79245,0.86577,0.65333,0.96629,0.74978,0.01993,0.000949106,0.000949106,0.000949106
89,29904.7,1.04675,1.1723,0.01123,0.8376,0.74087,0.83122,0.619,0.99915,0.86095,0.02159,0.000940855,0.000940855,0.000940855
90,30235.4,1.04862,1.14823,0.01129,0.82191,0.78041,0.84646,0.64756,0.98705,0.76691,0.02064,0.000932603,0.000932603,0.000932603
91,30569.6,1.03214,1.15776,0.01078,0.82078,0.78818,0.86114,0.65548,0.97563,0.72496,0.02054,0.000924352,0.000924352,0.000924352
92,30904.4,1.03992,1.15447,0.01089,0.85631,0.76149,0.84743,0.64948,0.95814,0.78022,0.01952,0.0009161,0.0009161,0.0009161
93,31237,1.00933,1.14069,0.01078,0.85343,0.78468,0.8508,0.63729,0.99265,0.7895,0.02079,0.000907848,0.000907848,0.000907848
94,31565.6,0.99953,1.11779,0.01067,0.80458,0.82983,0.86938,0.65839,0.97267,0.7337,0.01989,0.000899597,0.000899597,0.000899597
95,31897.7,1.0252,1.11533,0.01092,0.82535,0.81359,0.87,0.64999,1.01206,0.70106,0.02204,0.000891345,0.000891345,0.000891345
96,32230.7,1.00691,1.11785,0.01076,0.82623,0.78326,0.84832,0.64542,1.01231,0.77603,0.0218,0.000883093,0.000883093,0.000883093
97,32563.6,1.00218,1.11143,0.01081,0.90222,0.77058,0.87101,0.667,0.97266,0.72048,0.0202,0.000874842,0.000874842,0.000874842
98,32898.2,1.02798,1.10958,0.01089,0.84084,0.79181,0.8408,0.63563,0.9768,0.80566,0.02109,0.00086659,0.00086659,0.00086659
99,33230.7,1.00715,1.11905,0.01069,0.81031,0.81786,0.85684,0.64673,0.98068,0.78731,0.02045,0.000858338,0.000858338,0.000858338
100,33565.5,0.99591,1.07596,0.01052,0.86741,0.79113,0.85885,0.66194,0.93622,0.76971,0.01912,0.000850087,0.000850087,0.000850087
101,33900.9,0.98857,1.0688,0.01043,0.82374,0.8127,0.86429,0.67025,0.92753,0.72588,0.01929,0.000841835,0.000841835,0.000841835
102,34238.8,0.97982,1.06212,0.01041,0.87911,0.79462,0.86636,0.66882,0.91781,0.71209,0.01884,0.000833583,0.000833583,0.000833583
103,34569.5,0.99034,1.03961,0.01032,0.85205,0.75685,0.85882,0.65326,0.95724,0.73652,0.01977,0.000825332,0.000825332,0.000825332
104,34904.4,0.98555,1.06425,0.01028,0.85524,0.79351,0.86343,0.65966,0.98283,0.70185,0.02005,0.00081708,0.00081708,0.00081708
105,35236.4,0.99072,1.04337,0.01042,0.84569,0.76653,0.85453,0.65377,0.96558,0.75655,0.02049,0.000808828,0.000808828,0.000808828
106,35567.7,0.99866,1.09358,0.0106,0.83586,0.77228,0.84752,0.63424,0.98954,0.79982,0.02127,0.000800577,0.000800577,0.000800577
107,35905.8,0.97103,1.05199,0.0102,0.80198,0.80039,0.84633,0.64743,0.95885,0.7722,0.0203,0.000792325,0.000792325,0.000792325
108,36236.9,0.97767,1.04281,0.01018,0.82679,0.81662,0.8594,0.66016,0.94776,0.71803,0.01931,0.000784073,0.000784073,0.000784073
